TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a004178,이천테르메덴 카라반캠핑장,0,5,Y,2022-10-13 00:00:00.000,2022-10-14 00:00:00.000,2,,,경기 이천시 모가면 사실로 984,,,,,1.0,150000,
a_a001957,광교호반마을22단지아파트,0,10,N,2022-09-12 00:00:00.000,2022-09-12 00:00:00.000,3,,,경기 수원시 영통구 광교호수로152번길 24,경기 수원시 영통구 하동 1028,,,,,0,
a_a004639,산들바람팬션,1,3,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,3,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-09-29 00:01:00.000,1.0,114700,PE-복층형
a_a004118,아제라호텔,1,1,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,1,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-10-01 14:09:00.000,1.0,70000,MO-연수아제라관광호텔-
a_a000139,베라노펜션,0,3,Y,2022-08-20 00:00:00.000,2022-08-20 00:00:00.000,5,,,경기 가평군 설악면 자잠로 344,경기 가평군 설악면 사룡리 225-15,,,,5.0,310000,
a_a000930,경기도청소년수련원,1,5,Y,2022-08-26 00:00:00.000,2022-08-27 00:00:00.000,1,8248102515.0,주식회사인터파크,서울 강남구 삼성로 512,,3122005.0,1168010500.0,2022-08-16 00:00:00.000,1.0,27500,경기도청소년수련원캠핑장(경기안산)
a_a002956,노보텔앰배서더 서울용산,2,1,Y,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-09-26 00:03:00.000,1.0,238408,노보텔 앰버서더 서울 용산
a_a009473,엠앤럭키호텔,0,1,Y,2022-10-28 00:00:00.000,2022-10-30 00:00:00.000,2,,,서울 종로구 수표로22길 38,서울 종로구 돈의동 155,,,,1.0,107300,
a_a000362,이지펜션,1,3,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,2,7428600224.0,(주)위드이노베이션,,,,,2022-08-27 15:00:00.000,1.0,132800,가평 이지 펜션 베티(BETTY) 1박
a_a004100,샘호텔,0,1,Y,2022-10-04 00:00:00.000,2022-10-06 00:00:00.000,1,,,서울 강동구 천중로 197,서울 강동구 길동 347-29,,,,1.0,100000,
a_a004862,밀리오레호텔 명동,1,1,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,2,,명동밀리오레호텔,서울 중구 퇴계로 115,서울 중구 충무로1가 24-1,3101011.0,1114012400.0,2022-09-29 22:02:00.000,1.0,110000,스탠다드트윈
a_a002373,아시아매니징(주)호텔미드,10,1,,,,3,5248801750.0,아시아매니징(주)호텔미드,서울 중구 다동길 30,,4103026.0,1114010200.0,2022-10-03 08:09:00.000,1.0,24000,호텔비
a_a014835,삼정호텔,0,1,Y,2022-10-29 00:00:00.000,2022-11-02 00:00:00.000,2,,,서울 강남구 봉은사로 150,서울 강남구 역삼동 604-7,,,,1.0,458345,
a_a003212,브라운도트호텔 성신여대점,1,1,Y,2022-09-27 00:00:00.000,2022-09-28 00:00:00.000,2,,브라운도트호텔,서울 성북구 동소문로23길 11,서울 성북구 동선동4가 85,4121097.0,1129011900.0,2022-09-23 00:17:00.000,1.0,58600,호텔비
a_a001942,브라운도트호텔 종로점,0,1,Y,2022-09-15 00:00:00.000,2022-09-16 00:00:00.000,2,,,서울 종로구 수표로22길 5,,,,,1.0,55000,
a_a009694,여울목펜션,0,3,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,,수목원로 84-64,,,,,5.0,180000,
a_a003316,무지개서는마을,0,5,N,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,2,,,경기 가평군 북면 가화로 1725,경기 가평군 북면 도대리 71,,,,5.0,80000,
a_a015694,아보헌,1,6,Y,2022-11-03 00:00:00.000,2022-11-04 00:00:00.000,4,2013500978.0,아보헌,서울 종로구 창덕궁길 104,서울 종로구 원서동 59,4100428.0,1111014900.0,2022-11-05 09:11:00.000,3.0,333350,아보헌
a_a001810,코리아나호텔,1,1,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,6,,,,,,,,1.0,257980,2X디럭스 패밀리 트윈
a_a001673,그랜드워커힐서울,1,1,Y,2022-09-18 00:00:00.000,2022-09-19 00:00:00.000,3,1248100718.0,에스케이네트웍스㈜,서울 광진구 워커힐로 177,,3104009.0,1121510400.0,2022-09-18 14:32:00.000,1.0,165000,
a_a000342,로제펜션,0,3,Y,2022-08-21 00:00:00.000,2022-08-23 00:00:00.000,2,,,경기 가평군 가평읍 태봉두밀로 269-100,경기 가평군 가평읍 하색리 778-7,,,,5.0,130000,
a_a003557,가둘기정원펜션,1,3,Y,2022-09-30 00:00:00.000,2022-10-01 00:00:00.000,3,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-09-23 13:49:00.000,1.0,118479,PE-마르스(스파)
a_a007656,그랜드워커힐서울,0,1,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,1,,,서울 광진구 워커힐로 177,서울 광진구 광장동 22-1,,,,1.0,259800,
a_a003186,더스테이트 선유,1,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,1,,트립닷컴,,,,,2022-08-23 19:26:00.000,1.0,64928,
a_a001857,트레블로지동대문호텔,0,1,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,1,,,서울 중구 동호로 359,서울 중구 을지로5가 273-4,,,,1.0,85140,
a_a009732,호텔그레이스리 서울,2,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-10-18 13:09:00.000,1.0,215704,HO-[B.M.W 특가-주차
a_a002888,글램핑클럽레스피아 포천백운계곡,2,5,Y,2022-09-25 00:00:00.000,2022-09-26 00:00:00.000,4,8458601518.0,[주]클럽레스피아(포천레스피아),경기 포천시 이동면 화동로 2440-36,,3213050.0,4165038022.0,2022-09-25 18:29:00.000,1.0,50000,
a_a001282,이화촌펜션,2,3,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,4,2208115770.0,나이스정보통신㈜,,,,,2022-08-20 00:00:00.000,1.0,157415,GAPYEONG IHWACHON PENSION
a_a001965,그랜드팰리스호텔 인천,1,1,Y,2022-09-12 00:00:00.000,2022-09-13 00:00:00.000,1,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-09-08 16:00:00.000,1.0,35910,MO-호구포그랜드팰리스
